source_id,path,filename,format,source_state,parser_profile_id,row_count_detected,size_bytes,checksum_sha256,header_hash_sha256,is_service_template,registered_at,registered_by,notes
src_000039,QuizBank/Housing_Implicit_Paraphrase_Bank_C1_300.csv,Housing_Implicit_Paraphrase_Bank_C1_300.csv,CSV,active,csv_quiz_bank_v1,300,275104,f785ef1c7a2f80f5887f7a227ffb8690320c1fdebab4a66a4cd6521a98455c80,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000040,QuizBank/Housing_Natural_Usage_Bank_A1_C2_2_100.csv,Housing_Natural_Usage_Bank_A1_C2_2_100.csv,CSV,active,csv_quiz_bank_v1,252,187254,e1da59189c110cd78c3fac58736d48179cf90a7b0af51eb2e7658f56e22a32c8,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000041,QuizBank/Housing_Process_Decisions_Natural_Usage_Bank_B2_300.csv,Housing_Process_Decisions_Natural_Usage_Bank_B2_300.csv,CSV,active,csv_quiz_bank_v1,300,274531,62130a0c75afba0d691f66b5d02b46cda299b75c5cfbbd1d34df018e324b2273,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000042,QuizBank/Leisure_Culture_Service_Social_Contacts_Implicit_Paraphrase_Bank_C1_300.csv,Leisure_Culture_Service_Social_Contacts_Implicit_Paraphrase_Bank_C1_300.csv,CSV,active,csv_quiz_bank_v1,300,300739,12b059a1238695cdcb08293e9882e78a94452af33bb460edb1918c1b61b0b638,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000043,QuizBank/Leisure_Culture_Service_Social_Contacts_Natural_Usage_Bank_B2_300.csv,Leisure_Culture_Service_Social_Contacts_Natural_Usage_Bank_B2_300.csv,CSV,active,csv_quiz_bank_v1,300,286564,aeaee01352c88272a6b5285bab67d92162af4565980a405155e153186d167b72,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000044,QuizBank/Leisure_Culture_Service_Social_Contacts_Precision_Mix_Bank_C2_300.csv,Leisure_Culture_Service_Social_Contacts_Precision_Mix_Bank_C2_300.csv,CSV,active,csv_quiz_bank_v1,300,291857,c2febfdf3ba827e3e8b75a3a62f8f299cecb1458101f710b72c636c018b049d2,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000045,QuizBank/Lexical_Gap_Fill_Bank_A2_B1_210.csv,Lexical_Gap_Fill_Bank_A2_B1_210.csv,CSV,active,csv_quiz_bank_v1,196,155734,bbb165532ce3547d3c6afd18769bc17ae0eae70708a329e43eabf42640c9224b,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000046,QuizBank/Media_Digital_Actions_Bank_B1_300.csv,Media_Digital_Actions_Bank_B1_300.csv,CSV,active,csv_quiz_bank_v1,300,204331,7103361a1946b6f9167110e74ad54865cfd7426dfc858b044014436a83579ecb,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000047,QuizBank/Media_Digital_Implicit_Paraphrase_Bank_C1_300.csv,Media_Digital_Implicit_Paraphrase_Bank_C1_300.csv,CSV,active,csv_quiz_bank_v1,300,284328,65dd436cd80d7c1b477de1fee25f02a099264493d32ef7597d9f0815d6f7e37d,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000048,QuizBank/Media_Digital_Natural_Usage_Bank_B2_300.csv,Media_Digital_Natural_Usage_Bank_B2_300.csv,CSV,active,csv_quiz_bank_v1,300,246868,7216957fc2841ebec9028dfcc94d7b7868c0eb881108d63942f67a7e8e225e44,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
